,fermi_b,Run,altieri_entropy_index,graph_modularity
0,0.0,0,1.3844452317184788,0.33544230668230596
1,0.0,1,1.3826345251494674,0.32552427246960325
2,0.3448275862068966,2,1.364376651892518,0.3286864664174024
3,0.3448275862068966,3,1.3861231130062304,0.32705935777188844
4,0.6896551724137931,4,1.382631411778082,0.33538803846151166
5,0.6896551724137931,5,1.3741226226000782,0.33339558041513334
6,1.0344827586206897,6,1.382984411682457,0.3303251144047538
7,1.0344827586206897,7,1.3849476885676315,0.32586200599021103
8,1.3793103448275863,8,1.3864653500006274,0.33120235459822844
9,1.3793103448275863,9,1.3862397708430358,0.33740610101313434
10,1.7241379310344829,10,1.3812824344383838,0.33205264796997164
11,1.7241379310344829,11,1.3860887230089698,0.32822862200658925
12,2.0689655172413794,12,1.3735485520110002,0.3292947131053577
13,2.0689655172413794,13,1.3752096896050359,0.3353484179659156
14,2.413793103448276,14,1.3875368737880005,0.3343881068658432
15,2.413793103448276,15,1.37007443543036,0.33639053570474814
16,2.7586206896551726,16,1.3843073300023074,0.3439736270228376
17,2.7586206896551726,17,1.3853839197185116,0.3455939053996998
18,3.1034482758620694,18,1.3865051410639933,0.3525626988629766
19,3.1034482758620694,19,1.3770316936990026,0.3348604748021658
20,3.4482758620689657,20,1.3735970907554833,0.33564420146046225
21,3.4482758620689657,21,1.3867693932988527,0.32355413970689606
22,3.793103448275862,22,1.383098205316754,0.3316587594754994
23,3.793103448275862,23,1.3752842730953465,0.3266092333321801
24,4.137931034482759,24,1.388277347697079,0.32717143710802155
25,4.137931034482759,25,1.3863943002848693,0.34864492779190615
26,4.482758620689656,26,1.3842097705838878,0.34063084742904576
27,4.482758620689656,27,1.383174503134843,0.33256384847529397
28,4.827586206896552,28,1.3846683900854015,0.32756644579197025
29,4.827586206896552,29,1.3839156147472547,0.34250593074503993
30,5.172413793103448,30,1.386317105593575,0.3412430546657504
31,5.172413793103448,31,1.374462340228623,0.3283057960365815
32,5.517241379310345,32,1.3864619044131985,0.3171446133996737
33,5.517241379310345,33,1.364725474763033,0.32334605417454987
34,5.862068965517242,34,1.382606588552929,0.3389519585503473
35,5.862068965517242,35,1.3847793949865552,0.3422716952825948
36,6.206896551724139,36,1.3790207285008835,0.3314691383058283
37,6.206896551724139,37,1.381611075384579,0.33497790257631976
38,6.551724137931035,38,1.3857223267256482,0.33158698196671893
39,6.551724137931035,39,1.3837325281450004,0.3427055645341116
40,6.8965517241379315,40,1.3749435785307478,0.33877504725897917
41,6.8965517241379315,41,1.3672258368463044,0.3294373804543574
42,7.241379310344828,42,1.3833356245326505,0.33259143166159266
43,7.241379310344828,43,1.3827703911775846,0.3401468822823247
44,7.586206896551724,44,1.377709638714413,0.33835224807510544
45,7.586206896551724,45,1.378459341013756,0.33185323009716333
46,7.931034482758621,46,1.3833407910457458,0.3271972511799462
47,7.931034482758621,47,1.3826553996033295,0.3240773229286815
48,8.275862068965518,48,1.386118227934989,0.3349749311489302
49,8.275862068965518,49,1.3834415000204678,0.343704702537
50,8.620689655172415,50,1.3872135544836686,0.3446451980494406
51,8.620689655172415,51,1.3747910752116799,0.334670703957653
52,8.965517241379311,52,1.3832989201523398,0.33051896953835747
53,8.965517241379311,53,1.386040571699881,0.3332690577990778
54,9.310344827586208,54,1.3393044635012399,0.3360799973930637
55,9.310344827586208,55,1.3852849691396296,0.333997623418262
56,9.655172413793103,56,1.3882551232889517,0.3310666773496118
57,9.655172413793103,57,1.3869702517485074,0.3316444785565697
58,10.0,58,1.3833251977167618,0.3348877796459681
59,10.0,59,1.374628801823551,0.32424021023365424
