,happiness_threshold,Run,altieri_entropy_index,graph_modularity
0,0.0,0,1.3834037855980352,0.32731889732946984
1,0.0,1,1.3848896702320996,0.3322449035572056
2,0.034482758620689655,2,1.381788554579693,0.33314431806750167
3,0.034482758620689655,3,1.386266391564503,0.32551654784970313
4,0.06896551724137931,4,1.3863215579191888,0.32821332875861847
5,0.06896551724137931,5,1.3791038311544852,0.3356340307750047
6,0.10344827586206896,6,1.3861068791906028,0.337489299681299
7,0.10344827586206896,7,1.3815901530858599,0.33086981762015716
8,0.13793103448275862,8,1.3748162689427172,0.33420973236789264
9,0.13793103448275862,9,1.3850972607590357,0.3293868896691743
10,0.1724137931034483,10,1.385949943609738,0.3446552959265687
11,0.1724137931034483,11,1.383655587262996,0.33682186855345053
12,0.20689655172413793,12,1.38476911904741,0.3285684964138839
13,0.20689655172413793,13,1.3863350107089711,0.33276108634595064
14,0.24137931034482757,14,1.386554973154817,0.33730765432098764
15,0.24137931034482757,15,1.3857738876450243,0.3165643579072532
16,0.27586206896551724,16,1.3858205102674788,0.34406462833474694
17,0.27586206896551724,17,1.3837211569757615,0.3437610046946656
18,0.3103448275862069,18,1.383069911529341,0.3362104981332141
19,0.3103448275862069,19,1.3897627231116796,0.32869405870195667
20,0.3448275862068966,20,1.3828901258109862,0.3395333519735041
21,0.3448275862068966,21,1.3808878913802447,0.3222558041029319
22,0.3793103448275862,22,1.3778987294530458,0.33814197310586774
23,0.3793103448275862,23,1.3751420612228116,0.3440593926363881
24,0.41379310344827586,24,1.3849658983021886,0.3309029054174929
25,0.41379310344827586,25,1.3862096676311761,0.33488794838687547
26,0.4482758620689655,26,1.3793228864953293,0.3404567931334593
27,0.4482758620689655,27,1.3777472384622902,0.33576840583438666
28,0.48275862068965514,28,1.3837891546035495,0.3312551355498868
29,0.48275862068965514,29,1.385771220463896,0.3290564636978007
30,0.5172413793103449,30,1.3861680680104034,0.32562590834329314
31,0.5172413793103449,31,1.380586211864006,0.33740568641065355
32,0.5517241379310345,32,1.3870265004276137,0.3306372344135985
33,0.5517241379310345,33,1.3848673813655479,0.33667217381870895
34,0.5862068965517241,34,1.377322585081236,0.32685645494632665
35,0.5862068965517241,35,1.3814770813180637,0.34605134972539736
36,0.6206896551724138,36,1.382439842081613,0.3316982074337999
37,0.6206896551724138,37,1.3801308597873383,0.3290918354072048
38,0.6551724137931034,38,1.3849547149852803,0.33678036739317496
39,0.6551724137931034,39,1.3849638729059015,0.33675199168614933
40,0.6896551724137931,40,1.3858857992685312,0.3267994850411865
41,0.6896551724137931,41,1.3862452836259138,0.3412926752742406
42,0.7241379310344828,42,1.3697769651219207,0.3334434982184435
43,0.7241379310344828,43,1.3861978492918097,0.33560669952073696
44,0.7586206896551724,44,1.3797859092441305,0.3515422314740448
45,0.7586206896551724,45,1.3816497907692342,0.330342690545606
46,0.7931034482758621,46,1.373768107315925,0.33682037752675387
47,0.7931034482758621,47,1.3841406567069428,0.3177974099842284
48,0.8275862068965517,48,1.3830364636358308,0.33919237565680127
49,0.8275862068965517,49,1.3761648053413174,0.3264850538523796
50,0.8620689655172413,50,1.369037528669311,0.3334577342316229
51,0.8620689655172413,51,1.384857880753573,0.33525860354374626
52,0.896551724137931,52,1.376283759758748,0.3327275724935289
53,0.896551724137931,53,1.3778473287230089,0.3344022989113081
54,0.9310344827586207,54,1.3824884654238525,0.3322382066348616
55,0.9310344827586207,55,1.385898876021933,0.3254516546739006
56,0.9655172413793103,56,1.3864046607435296,0.33300146774622424
57,0.9655172413793103,57,1.380198421721824,0.3257055477128736
58,1.0,58,1.386575983830195,0.33494427592537557
59,1.0,59,1.3873578162894575,0.32374995319001765
