,connections_per_step,Run,altieri_entropy_index,graph_modularity
0,1,0,1.3788495198300992,0.9451063829787236
1,1,1,1.386125110250278,0.9439076757917332
2,1,2,1.3879998551838144,0.9663304957211213
3,1,3,1.3862927730369068,0.955805564413265
4,1,4,1.3848988645894256,0.9562287334593563
5,1,5,1.3875958641078825,0.9109735349716437
6,1,6,1.385850697446936,0.9352224404568953
7,1,7,1.3845498592799983,0.9470212327355187
8,1,8,1.3778740000180454,0.9299975210236276
9,1,9,1.3810484256267388,0.9249277747917216
10,1,10,1.389038160463933,0.9599739952259893
11,1,11,1.3861310970757077,0.9642600794804014
12,1,12,1.3724832140209922,0.9472295273577329
13,1,13,1.3823879804249015,0.9446317970420328
14,1,14,1.3859988119125128,0.9221914882442538
15,1,15,1.3803244932553842,0.9418306144834182
16,2,16,1.3828033428390365,0.6448479918254373
17,2,17,1.3800032604205945,0.6392803340897389
18,2,18,1.386273103412236,0.6313145661157025
19,2,19,1.3866919290856627,0.62489087474802
20,2,20,1.380512550359461,0.6122077618959116
21,2,21,1.3834105984536158,0.618684
22,2,22,1.3870471033269218,0.611090705030099
23,2,23,1.386356823764906,0.6529975997747277
24,2,24,1.3806766584013677,0.6373334363819041
25,2,25,1.3857279940181721,0.6349989239723935
26,2,26,1.3845042892902377,0.6321950138504155
27,2,27,1.3871408559303096,0.6623353506585973
28,2,28,1.3849740500874264,0.6438667938732018
29,2,29,1.372800275675967,0.6215662283224166
30,3,30,1.3833180761937782,0.4624620356521474
31,3,31,1.3868542851426633,0.4777930854841566
32,3,32,1.3834535329802593,0.46232691926205116
33,3,33,1.3836198765285042,0.45653093671500894
34,3,34,1.3864814535369299,0.4726623755141584
35,3,35,1.3861465155335926,0.4771418861581479
36,3,36,1.3834137367239159,0.4655597204868342
37,3,37,1.386928196582928,0.4545916314228002
38,3,38,1.3858106688533987,0.474565779623608
39,3,39,1.3847395967672773,0.46629919858558
40,3,40,1.3874688188084103,0.47554695546331266
41,3,41,1.369769210301183,0.4470134947470112
42,3,42,1.3845508345518651,0.4645961398638377
43,3,43,1.3715037842851756,0.4824048661382192
44,4,44,1.3684419777579457,0.37586244258252166
45,4,45,1.3865422698284398,0.39188302768670713
46,4,46,1.3849469889439163,0.3946804034382759
47,4,47,1.3874297233125077,0.3996630080148529
48,4,48,1.3862362633363918,0.3787405933466899
49,4,49,1.3796828160550698,0.37831111638516407
50,4,50,1.3860756150790532,0.386247361513311
51,4,51,1.3881815407533786,0.3850009204037127
52,4,52,1.3883177224819758,0.4001953882256912
53,4,53,1.3838333376258638,0.38579719240535554
54,4,54,1.3864150919917393,0.3632982147605297
55,4,55,1.3849853223738962,0.38877766927083335
56,4,56,1.3846287227771192,0.38432246502485834
57,4,57,1.3860466747649463,0.38398964916690603
58,5,58,1.372446366407342,0.34252983442225077
59,5,59,1.3821460076224108,0.32710845940762845
