,opinion_max_diff,Run,altieri_entropy_index,graph_modularity
0,0.0,0,1.381121380118225,0.34216598046089547
1,0.0,1,1.384847408806069,0.3311274374653553
2,0.1724137931034483,2,1.3762138642178623,0.3266753999099706
3,0.1724137931034483,3,1.3756101863439516,0.33476048606426045
4,0.3448275862068966,4,1.3830417014547538,0.33565181473571654
5,0.3448275862068966,5,1.3806402937816113,0.3324515554214105
6,0.5172413793103449,6,1.3755889748639913,0.33428105665335933
7,0.5172413793103449,7,1.3862829604021043,0.3337710838429023
8,0.6896551724137931,8,1.3792965857746309,0.33287305659337824
9,0.6896551724137931,9,1.3706600107021125,0.340456306138649
10,0.8620689655172414,10,1.386927902361089,0.33548084815925205
11,0.8620689655172414,11,1.3850764503969202,0.32960131666472775
12,1.0344827586206897,12,1.3410267487408656,0.33905086191724765
13,1.0344827586206897,13,1.3809812336748633,0.3475354354832411
14,1.206896551724138,14,1.386168533419946,0.3179309455616087
15,1.206896551724138,15,1.3764741076560114,0.3360800388981366
16,1.3793103448275863,16,1.3203519190342894,0.323264115138267
17,1.3793103448275863,17,1.2874168391512248,0.33384288012942465
18,1.5517241379310347,18,1.3579503127041932,0.3350723994262687
19,1.5517241379310347,19,1.3797999635264482,0.3418623662306778
20,1.7241379310344829,20,1.3856022171726847,0.329688425873206
21,1.7241379310344829,21,1.385166034473926,0.340707807041118
22,1.896551724137931,22,1.2920097360223672,0.33200733418367345
23,1.896551724137931,23,1.353745737229065,0.31943840317046057
24,2.0689655172413794,24,1.3855917106781732,0.32732704661474965
25,2.0689655172413794,25,1.3459512077979554,0.3266496021335072
26,2.241379310344828,26,1.3587936542586943,0.32844664665033435
27,2.241379310344828,27,1.3713819647234173,0.33689355405393395
28,2.413793103448276,28,1.3729797117948979,0.34220857761018075
29,2.413793103448276,29,1.3840262419123763,0.33522106335345736
30,2.586206896551724,30,1.3864363293802928,0.3255232181467358
31,2.586206896551724,31,1.3838015813299391,0.3411846315691525
32,2.7586206896551726,32,1.355214941207265,0.3443718470710619
33,2.7586206896551726,33,1.3365151638916009,0.34144644384489925
34,2.931034482758621,34,1.3094404004101206,0.33051802314385254
35,2.931034482758621,35,1.3699422099865508,0.3398779840356016
36,3.1034482758620694,36,1.273060686882192,0.3263862884980879
37,3.1034482758620694,37,1.0487325016566933,0.34011855967828114
38,3.2758620689655173,38,1.3753551361834286,0.3472427932510186
39,3.2758620689655173,39,1.0724823930626337,0.3213667256175674
40,3.4482758620689657,40,1.3517023943458786,0.33491041177009256
41,3.4482758620689657,41,0.5462175276836032,0.321910484602544
42,3.620689655172414,42,1.38286354035707,0.32593970992297644
43,3.620689655172414,43,0.0,0.33349869359508505
44,3.793103448275862,44,0.6200644309462726,0.3454935183335254
45,3.793103448275862,45,1.3226673565083795,0.34058147068351147
46,3.9655172413793105,46,0.0,0.33261279048656506
47,3.9655172413793105,47,0.053519037052393324,0.33028795494715657
48,4.137931034482759,48,0.0,0.3308341595611078
49,4.137931034482759,49,1.1941307111615298,0.32383892031903194
50,4.310344827586207,50,0.2969407668548317,0.3399010428514984
51,4.310344827586207,51,0.0,0.33903539999019944
52,4.482758620689656,52,0.0,0.32653553948425745
53,4.482758620689656,53,0.0,0.3416919285992567
54,4.655172413793104,54,0.662728338273062,0.3178364240978669
55,4.655172413793104,55,1.3057631658392395,0.3324080425813171
56,4.827586206896552,56,0.0,0.327840525224522
57,4.827586206896552,57,1.3759975377721279,0.32668124439318214
58,5.0,58,0.7660154431122127,0.3386394023268905
59,5.0,59,0.0,0.32752434498648647
