Unnamed: 0,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,conformity,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index,connections_per_step,Modularity
4,8.59375,8.9453125,0.60546875,1,6.30859375,0.36328125,4,0.104203832,0.108277331,0.058027179,0,,
5,4.40625,8.9453125,0.60546875,1,6.30859375,0.36328125,5,0.104203832,0.108277331,0.058027179,0,,
6,8.59375,6.8359375,0.60546875,1,6.30859375,0.36328125,6,0.190637547,0.147912717,0.056670128,0,,
7,8.59375,8.9453125,0.54296875,1,6.30859375,0.36328125,7,0.170147179,0.132711137,0.054755553,0,,
8,8.59375,8.9453125,0.60546875,3,6.30859375,0.36328125,8,0.179958642,0.147751938,0.007477715,0,,
9,8.59375,8.9453125,0.60546875,1,4.83203125,0.36328125,9,0.156649592,0.162890362,0.05299569,0,,
10,4.59375,3.9453125,0.10546875,1,1.80859375,0.86328125,10,0.156649592,0.162890362,0.05299569,1,,
11,4.59375,3.9453125,0.10546875,3,9.33203125,0.86328125,11,0.156649592,0.162890362,0.05299569,1,,
12,4.59375,3.9453125,0.10546875,3,1.80859375,0.80078125,12,0.156649592,0.162890362,0.05299569,1,,
13,8.40625,1.8359375,0.04296875,1,9.33203125,0.80078125,13,0.156649592,0.162890362,0.05299569,1,,
14,8.59375,8.9453125,0.60546875,1,6.30859375,0.36328125,14,0.270377,0.26918609,0.054277092,1,,
15,4.40625,8.9453125,0.60546875,1,6.30859375,0.36328125,15,0.270377,0.26918609,0.054277092,1,,
16,8.59375,6.8359375,0.60546875,1,6.30859375,0.36328125,16,0.112373373,0.114311184,0.056769978,1,,
17,8.59375,8.9453125,0.54296875,1,6.30859375,0.36328125,17,0.177844854,0.158986968,0.053576981,1,,
18,8.59375,8.9453125,0.60546875,3,6.30859375,0.36328125,18,0.087968808,0.069344443,0.005294881,1,,
19,8.59375,8.9453125,0.60546875,1,4.83203125,0.36328125,19,0.091905281,0.096908829,0.057234209,1,,
20,4.59375,3.9453125,0.10546875,1,1.80859375,0.86328125,20,0.104203832,0.108277331,0.058027179,2,,
21,4.59375,3.9453125,0.10546875,3,9.33203125,0.86328125,21,0.190637547,0.147912717,0.056670128,2,,
22,4.59375,3.9453125,0.10546875,3,1.80859375,0.80078125,22,0.170147179,0.132711137,0.054755553,2,,
23,8.40625,1.8359375,0.04296875,1,9.33203125,0.80078125,23,0.179958642,0.147751938,0.007477715,2,,
24,8.59375,8.9453125,0.60546875,1,6.30859375,0.36328125,24,0.189626952,0.152105162,0.060168469,2,,
25,4.40625,8.9453125,0.60546875,1,6.30859375,0.36328125,25,0.177844854,0.158986968,0.053576981,2,,
26,8.59375,6.8359375,0.60546875,1,6.30859375,0.36328125,26,0.294028038,0.274731691,0.054131667,2,,
27,8.59375,8.9453125,0.54296875,1,6.30859375,0.36328125,27,0.156537411,0.120621271,0.055617501,2,,
28,8.59375,8.9453125,0.60546875,3,6.30859375,0.36328125,28,0.178000998,0.136763469,0,2,,
29,8.59375,8.9453125,0.60546875,1,4.83203125,0.36328125,29,0.045133588,0.042585584,0.054407644,2,,
30,4.59375,3.9453125,0.10546875,1,1.80859375,0.86328125,30,0.104203832,0.108277331,0.058027179,3,,
31,4.59375,3.9453125,0.10546875,3,9.33203125,0.86328125,31,0.179958642,0.147751938,0.007477715,3,,
32,4.59375,3.9453125,0.10546875,3,1.80859375,0.80078125,32,0.112373373,0.114311184,0.056769978,3,,
33,8.40625,1.8359375,0.04296875,1,9.33203125,0.80078125,33,0.112373373,0.114311184,0.056769978,3,,
34,8.59375,8.9453125,0.60546875,1,6.30859375,0.36328125,34,0.270383676,0.151922167,0.055756087,3,,
35,4.40625,8.9453125,0.60546875,1,6.30859375,0.36328125,35,0.177844854,0.158986968,0.053576981,3,,
36,8.59375,6.8359375,0.60546875,1,6.30859375,0.36328125,36,0.212198702,0.161271638,0.056246661,3,,
37,8.59375,8.9453125,0.54296875,1,6.30859375,0.36328125,37,0.162443899,0.184945236,0.054644435,3,,
38,8.59375,8.9453125,0.60546875,3,6.30859375,0.36328125,38,0.104108021,0.109791204,0.005388149,3,,
39,8.59375,8.9453125,0.60546875,1,4.83203125,0.36328125,39,0.161222842,0.125652757,0.057119251,3,,
40,4.59375,3.9453125,0.10546875,1,1.80859375,0.86328125,40,0.294028038,0.274731691,0.054131667,4,,
41,4.59375,3.9453125,0.10546875,3,9.33203125,0.86328125,41,0.156537411,0.120621271,0.055617501,4,,
42,4.59375,3.9453125,0.10546875,3,1.80859375,0.80078125,42,0.156537411,0.120621271,0.055617501,4,,
43,8.40625,1.8359375,0.04296875,1,9.33203125,0.80078125,43,0.178000998,0.136763469,0,4,,
44,8.59375,8.9453125,0.60546875,1,6.30859375,0.36328125,44,0.086777416,0.050856427,0.055479772,4,,
45,4.40625,8.9453125,0.60546875,1,6.30859375,0.36328125,45,0.045133588,0.042585584,0.054407644,4,,
46,8.59375,6.8359375,0.60546875,1,6.30859375,0.36328125,46,0.270206076,0.260849186,0.057182702,4,,
47,8.59375,8.9453125,0.54296875,1,6.30859375,0.36328125,47,0.254111357,0.199908051,0.058147411,4,,
48,8.59375,8.9453125,0.60546875,3,6.30859375,0.36328125,48,0.278825164,0.280642606,0.006069203,4,,
49,8.59375,8.9453125,0.60546875,1,4.83203125,0.36328125,49,0.092425946,0.090092097,0.056068177,4,,
0,6.09375,7.4609375,0.79296875,3,4.62109375,0.17578125,0,0.035209514,0.034485143,0.007037475,0,,
1,6.09375,8.3203125,0.60546875,3,4.62109375,0.17578125,1,0.033526843,0.042398771,0.004550178,0,,
2,6.09375,8.3203125,0.79296875,2,4.62109375,0.17578125,2,0.20474242,0.212600255,0.027639864,0,,
3,6.09375,8.3203125,0.79296875,3,3.14453125,0.17578125,3,0.339013307,0.241684658,0.004395066,0,,
4,6.09375,8.3203125,0.79296875,3,4.62109375,0.23828125,4,0.144624148,0.13128931,0.004795992,0,,
5,4.90625,7.4609375,0.60546875,2,3.14453125,0.23828125,5,0.144624148,0.13128931,0.004795992,0,,
