Unnamed: 0,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,happiness_threshold,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index,connections_per_step,Modularity
63,1.484375,0.7734375,0.68359375,,3.859375,0.19921875,2.0,,0.0662017602398669,0.4633491808716332,0.4846492864872231,,
53,1.484375,0.0234375,0.68359375,,0.703125,0.19921875,2.0,,0.6064175391698224,0.2757073621830197,0.3224371032923823,,
66,1.484375,0.7734375,0.68359375,,0.703125,0.17578125,2.0,,0.1340015929098218,0.3208896723305874,0.4212792623801407,,
72,0.765625,0.0234375,0.51171875,,3.859375,0.17578125,2.0,,0.671954012778458,0.1846580073889589,0.1904055244473864,,
57,1.484375,0.7734375,0.51171875,,0.703125,0.19921875,2.0,,0.1127497346424127,0.5945408749027546,0.8084757148196837,,
78,3.484375,3.7734375,0.18359375,,2.703125,0.69921875,2.0,,0.0034887754542061,0.3482356108779173,0.441064818641848,,
0,3.265625,0.7734375,0.63671875,,3.359375,0.30078125,2.0,,0.1911431201057171,0.5178062787610419,0.5920485271349958,,
32,1.984375,3.0234375,0.80859375,,0.203125,0.80078125,2.0,,0.2605561847141002,1.4184076032823685,1.7019223767182616,,
19,1.984375,3.7734375,0.80859375,,0.203125,0.07421875,2.0,,0.1744533272699794,1.494241673057518,1.8588601381067384,,
98,3.484375,3.7734375,0.01171875,,2.703125,0.69921875,2.0,,0.0177451570596864,0.6807664968015585,0.7699212886935811,,
28,1.984375,3.0234375,0.80859375,,1.359375,0.07421875,2.0,,0.2571428294058493,1.7481193372108383,2.1477219516680672,,
22,1.984375,3.0234375,0.13671875,,0.203125,0.07421875,2.0,,0.2268579144077364,1.319808490077618,1.70102651322525,,
37,1.265625,3.7734375,0.13671875,,1.359375,0.80078125,2.0,,0.2200214151065029,1.772737773438401,2.1651075947159977,,
40,1.484375,0.7734375,0.68359375,,0.703125,0.19921875,2.0,,0.1601785145719487,1.0393073825464425,1.4082038176507137,,
